"country","tertiary","upperSecondary","belowUpperSecondary","pop2022"
"Canada","60","32.5000","7.6000","38388.4190"
"Russia","56.7000","38.5000","4.8000","145805.9470"
"Japan","52.7000","","","125584.8380"
"Luxembourg","51.3000","22.8000","25.8000","642.3710"
"South Korea","50.7000","38.6000","10.6000","51329.8990"
"United States","50.1000","41.7000","8.3000","334805.2690"
"Israel","50.1000","37.9000","12","8922.8920"
"Ireland","49.9000","35.5000","14.5000","5020.1990"
"United Kingdom","49.4000","32.3000","18.3000","68497.9070"
"Australia","49.3000","34.4000","16.2000","26068.7920"
"Finland","47.9000","43.3000","8.8000","5554.9600"
"Switzerland","45.3000","44","10.7000","8773.6370"
"Norway","45.3000","37.2000","17.5000","5511.3700"
"Sweden","44.6000","39.3000","16.1000","10218.9710"
"Lithuania","44.1000","49.5000","6.4000","2661.7080"
"Netherlands","42.6000","38.4000","19","17211.4470"
"Belgium","42.4000","37.3000","20.2000","11668.2780"
"Estonia","42.2000","48.4000","9.3000","1321.9100"
"Iceland","40.6000","35.3000","24.1000","345.3930"
"New Zealand","40.1000","40.8000","19.1000","4898.2030"
"France","39.7000","41.8000","18.5000","65584.5180"
"Spain","39.7000","23.2000","37.1000","46719.1420"
"Denmark","39.3000","42","18.6000","5834.9500"
"Latvia","37.8000","51.6000","10.5000","1848.8370"
"Slovenia","35.9000","54.4000","9.8000","2078.0340"
"Argentina","35.7000","28","36.4000","46010.2340"
"Austria","34.2000","51.5000","14.3000","9066.7100"
"Greece","32.7000","43.7000","23.6000","10316.6370"
"Poland","32.4000","60.4000","6.8000","37739.7850"
"Germany","31.3000","54.9000","13.9000","83883.5960"
"Portugal","28.2000","27.2000","44.6000","10140.5700"
"Hungary","27.2000","58.4000","14.4000","9606.2590"
"Slovakia","26.8000","65.7000","7.5000","5460.1930"
"Chile","25.2000","42.3000","32.6000","19250.1950"
"Costa Rica","25.1000","17.6000","57.3000","5182.3540"
"Czech Republic","24.9000","69.2000","5.9000","10736.7840"
"Colombia","24.6000","34.2000","41.2000","51512.7620"
"Saudi Arabia","23.6000","32.9000","43.5000","35844.9090"
"Turkey","22","19.7000","58.3000","85561.9760"
"Brazil","20.1000","36.9000","43","215353.5930"
"Italy","20.1000","42.7000","37.1000","60262.7700"
"Mexico","19.4000","22.2000","58.4000","131562.7720"
"South Africa","15.8000","31.8000","52.3000","60756.1350"
"Indonesia","11.9000","26","62.1000","279134.5050"